DT;WS50M
18/10/2021;6.47
19/10/2021;4.53
20/10/2021;7.33
21/10/2021;4.93
22/10/2021;6.31
23/10/2021;8.03
24/10/2021;3.34
25/10/2021;5.75
26/10/2021;6.48
27/10/2021;2.57
28/10/2021;6.23
29/10/2021;7.34
30/10/2021;3.32
31/10/2021;2.55
01/11/2021;3.28
02/11/2021;4.83
03/11/2021;4.48
04/11/2021;3.68
05/11/2021;4.27
06/11/2021;4.3
07/11/2021;5.34
08/11/2021;5.12
09/11/2021;5.73
10/11/2021;7.51
11/11/2021;7.52
12/11/2021;6.63
13/11/2021;3.65
14/11/2021;5.41
15/11/2021;4.01
16/11/2021;5.05
17/11/2021;3.92
18/11/2021;2.58
19/11/2021;3.09
20/11/2021;5.23
21/11/2021;2.4
22/11/2021;6.55
23/11/2021;5.91
24/11/2021;7.4
25/11/2021;6.45
26/11/2021;4.0
27/11/2021;7.97
28/11/2021;6.92
29/11/2021;4.09
30/11/2021;6.65
01/12/2021;10.86
02/12/2021;5.06
03/12/2021;6.14
04/12/2021;6.2
05/12/2021;5.34
06/12/2021;4.97
07/12/2021;7.7
08/12/2021;11.4
09/12/2021;7.37
10/12/2021;3.17
11/12/2021;2.75
12/12/2021;5.85
13/12/2021;7.75
14/12/2021;2.07
15/12/2021;3.93
16/12/2021;4.11
17/12/2021;7.46
18/12/2021;7.64
19/12/2021;3.95
20/12/2021;3.32
21/12/2021;4.16
22/12/2021;7.01
23/12/2021;6.09
24/12/2021;3.59
25/12/2021;5.77
26/12/2021;6.82
27/12/2021;4.54
28/12/2021;5.61
29/12/2021;4.55
30/12/2021;7.17
31/12/2021;5.51
