DT;Period;WS50M
03/09/2021;246;4.2
04/09/2021;247;4.57
05/09/2021;248;5.8
06/09/2021;249;6.17
07/09/2021;250;5.55
08/09/2021;251;3.96
09/09/2021;252;3.16
10/09/2021;253;4.2
11/09/2021;254;3.14
12/09/2021;255;3.37
13/09/2021;256;4.16
14/09/2021;257;2.8
15/09/2021;258;4.0
16/09/2021;259;5.57
17/09/2021;260;4.17
18/09/2021;261;8.38
19/09/2021;262;7.58
20/09/2021;263;5.04
21/09/2021;264;3.41
22/09/2021;265;5.58
23/09/2021;266;4.63
24/09/2021;267;3.17
25/09/2021;268;6.35
26/09/2021;269;4.64
27/09/2021;270;5.91
28/09/2021;271;5.02
29/09/2021;272;3.68
30/09/2021;273;2.73
01/10/2021;274;12.77
02/10/2021;275;4.93
03/10/2021;276;4.16
04/10/2021;277;5.91
05/10/2021;278;4.65
06/10/2021;279;5.62
07/10/2021;280;4.16
08/10/2021;281;4.96
09/10/2021;282;5.21
10/10/2021;283;4.4
11/10/2021;284;5.83
12/10/2021;285;5.84
13/10/2021;286;5.33
14/10/2021;287;3.55
15/10/2021;288;2.42
16/10/2021;289;4.98
17/10/2021;290;8.1
18/10/2021;291;6.47
19/10/2021;292;4.53
20/10/2021;293;7.33
21/10/2021;294;4.93
22/10/2021;295;6.31
23/10/2021;296;8.03
24/10/2021;297;3.34
25/10/2021;298;5.75
26/10/2021;299;6.48
27/10/2021;300;2.57
28/10/2021;301;6.23
29/10/2021;302;7.34
30/10/2021;303;3.32
31/10/2021;304;2.55
01/11/2021;305;3.28
02/11/2021;306;4.83
03/11/2021;307;4.48
04/11/2021;308;3.68
05/11/2021;309;4.27
06/11/2021;310;4.3
07/11/2021;311;5.34
08/11/2021;312;5.12
09/11/2021;313;5.73
10/11/2021;314;7.51
11/11/2021;315;7.52
12/11/2021;316;6.63
13/11/2021;317;3.65
14/11/2021;318;5.41
15/11/2021;319;4.01
16/11/2021;320;5.05
17/11/2021;321;3.92
18/11/2021;322;2.58
19/11/2021;323;3.09
20/11/2021;324;5.23
21/11/2021;325;2.4
22/11/2021;326;6.55
23/11/2021;327;5.91
24/11/2021;328;7.4
25/11/2021;329;6.45
26/11/2021;330;4.0
27/11/2021;331;7.97
28/11/2021;332;6.92
29/11/2021;333;4.09
30/11/2021;334;6.65
01/12/2021;335;10.86
02/12/2021;336;5.06
03/12/2021;337;6.14
04/12/2021;338;6.2
05/12/2021;339;5.34
06/12/2021;340;4.97
07/12/2021;341;7.7
08/12/2021;342;11.4
09/12/2021;343;7.37
10/12/2021;344;3.17
11/12/2021;345;2.75
12/12/2021;346;5.85
13/12/2021;347;7.75
14/12/2021;348;2.07
15/12/2021;349;3.93
16/12/2021;350;4.11
17/12/2021;351;7.46
18/12/2021;352;7.64
19/12/2021;353;3.95
20/12/2021;354;3.32
21/12/2021;355;4.16
22/12/2021;356;7.01
23/12/2021;357;6.09
24/12/2021;358;3.59
25/12/2021;359;5.77
26/12/2021;360;6.82
27/12/2021;361;4.54
28/12/2021;362;5.61
29/12/2021;363;4.55
30/12/2021;364;7.17
31/12/2021;365;5.51
